year,mo,dy,hr,wdir,wspd,t_dry
1981,11,01,15,,,-8.4
1981,11,01,21,,,-4.8
1981,11,02,03,,,-12
1981,11,02,09,,,-10.2
1981,11,02,15,,,-13.8
1981,11,02,21,300,3,-6.6
1981,11,03,03,300,4,-1.2
1981,11,03,09,300,4,-3
1981,11,03,15,300,3,0.6
1981,11,03,21,290,6,6
1981,11,04,03,310,11,9.6
1981,11,04,09,320,13,7.8
1981,11,04,21,310,13,4.2
1981,11,05,03,310,13,2.4
1981,11,05,09,310,10,7.8
1981,11,05,15,300,17,7.8
1981,11,05,21,,,11.4
1981,11,06,03,300,13,13.2
1981,11,06,09,310,14,9.6
1981,11,06,15,310,14,9.6
1981,11,06,21,310,11,11.4
1981,11,07,03,330,10,7.8
1981,11,07,09,320,8,6
1981,11,07,15,300,6,6
1981,11,07,21,290,4,2.4
1981,11,08,03,320,3,4.2
1981,11,08,09,310,4,0.6
1981,11,08,15,240,1,-3
1981,11,08,21,280,2,-6.6
1981,11,09,03,290,4,-1.2
1981,11,09,09,300,3,4.2
1981,11,09,15,280,2,4.2
1981,11,10,03,300,2,11.4
1981,11,10,09,310,3,13.2
1981,11,10,15,310,3,11.4
1981,11,10,21,300,6,11.4
1981,11,11,00,310,7,11.4
1981,11,11,03,300,8,11.4
1981,11,11,15,320,9,2.4
1981,11,11,21,310,10,-3
1981,11,12,03,320,13,-6.6
1981,11,12,09,290,14,-4.8
1981,11,12,15,310,15,-3
1981,11,13,03,290,6,-1.2
1981,11,13,09,310,6,0.6
1981,11,14,00,320,2,0.6
1981,11,14,03,320,2,0.6
1981,11,14,09,290,3,6
1981,11,15,09,,,-4.8
1981,11,16,03,80,6,2.4
1981,11,16,09,150,6,15
1981,11,16,15,110,1,27.6
1981,11,17,09,100,4,2.4
1981,11,17,15,220,1,
1981,11,17,21,150,4,18.6
1981,11,18,09,80,10,34.8
1981,11,18,15,210,16,31.2
1981,11,18,21,180,16,31.2
1981,11,19,09,150,2,27.6
1981,11,19,15,110,1,22.2
1981,11,19,21,90,4,25.8
1981,11,20,03,90,1,11.4
1981,11,20,09,290,1,9.6
1981,11,20,21,90,3,11.4
1981,11,21,09,120,2,13.2
1981,11,21,15,160,3,7.8
1981,11,22,03,140,2,7.8
1981,11,22,09,120,2,7.8
1981,11,22,15,,,7.8
1981,11,22,21,270,2,4.2
1981,11,23,03,210,1,2.4
1981,11,23,09,190,1,6
1981,11,23,15,90,8,9.6
1981,11,24,03,50,3,-1.2
1981,11,24,09,,,-1.2
1981,11,25,03,310,11,-4.8
1981,11,25,09,290,9,-4.8
1981,11,25,15,300,13,-3
1981,11,25,21,300,13,-3
1981,11,26,03,300,16,-1.2
1981,11,26,09,320,16,-3
1981,11,26,15,300,13,-6.6
1981,11,26,21,320,13,-4.8
1981,11,27,03,300,16,-6.6
1981,11,27,09,300,13,-6.6
1981,11,27,21,290,16,-10.2
1981,11,28,03,280,2,-13.8
1981,11,28,09,330,11,-8.4
1981,11,28,15,,,
1981,11,28,21,290,16,-12
1981,11,29,03,280,2,-13.8
1981,11,29,09,270,7,-13.8
1981,11,29,18,280,9,-15.6
1981,11,29,21,300,7,-15.6
1981,11,30,03,300,13,-8.4
1981,11,30,09,320,20,-10.2
1981,11,30,15,320,7,-12
1981,11,30,21,240,2,-13.8
1981,12,01,03,220,4,-13.8
1981,12,01,09,300,13,-8.4
1981,12,01,15,300,18,-12
1981,12,01,21,300,11,-4.8
1981,12,02,00,290,16,-13.8
1981,12,02,03,290,9,-15.6
1981,12,02,09,,,-17.4
1981,12,02,21,,,-26.4
1981,12,03,09,300,4,-19.2
1981,12,03,15,180,4,-22.8
1981,12,03,21,270,2,-19.2
1981,12,04,03,300,2,-19.2
1981,12,04,09,250,2,-19.2
1981,12,04,15,,,-22.8
1981,12,04,21,,,-24.6
1981,12,05,03,,,-24.6
1981,12,05,09,,,-24.6
1981,12,05,15,,,-24.6
1981,12,05,21,,,-26.4
1981,12,06,03,80,2,-24.6
1981,12,06,09,130,7,-24.6
1981,12,06,15,190,4,-13.8
1981,12,07,03,,,-10.2
1981,12,07,09,280,2,-6.6
1981,12,07,15,300,2,-4.8
1981,12,07,21,320,7,2.4
1981,12,08,03,310,2,0.6
1981,12,08,09,300,2,0.6
